Rank,Title,Interventions,URL
2207,Treatment of Pulmonary Fibrosis Due to COVID-19 With Fuzheng Huayu,Drug: Fuzheng Huayu Tablet|Drug: Vitamin C tablets|Other: Placebo|Other: respiratory function rehabilitation training,https://ClinicalTrials.gov/show/NCT04279197
2208,Effect of Using Barrier Devices for Intubation in COVID-19 Patients,Device: aerosol box|Device: transparent sheet,https://ClinicalTrials.gov/show/NCT04412226
2209,Efficacy of Iodine Complex Against COVID-19 Patients,Drug: Iodine Complex|Drug: Placebo|Drug: Idoine Complex,https://ClinicalTrials.gov/show/NCT04473261
2210,COVID-19 Antibody Responses In Cystic Fibrosis,,https://ClinicalTrials.gov/show/NCT04863573
2211,Screening for Patients Admitted to Ain-Shams University Hospitals for SARS-COV-2 (COVID19),,https://ClinicalTrials.gov/show/NCT04443712
2212,Ivermectin in Adults With Severe COVID-19.,Drug: Ivermectin|Other: Placebo,https://ClinicalTrials.gov/show/NCT04602507
2213,Clinical Trial to Evaluate the Efficacy of RUTI® Against SARS-COV-2 Infection (COVID-19) in Healthcare Workers,Biological: RUTI® vaccine|Biological: Placebo,https://ClinicalTrials.gov/show/NCT04453488
2214,The Evaluation of Cellular and Humoral Immunity to COVID-19 in Moscow Residents,Diagnostic Test: SARS-CoV-2 specific IgM and IgG detection|Diagnostic Test: ELISpot: detection of the T cells specific to different SARS-CoV-2 proteins|Diagnostic Test: Flow cytometry: detection of the SARS-CoV-2 specific T-helpers and cytotoxic T lymphocytes,https://ClinicalTrials.gov/show/NCT04898140
2215,Screening & Risk Assessment of Healthcare Workers & Infection Control in University & COVID-19 Quarantine Hospitals,,https://ClinicalTrials.gov/show/NCT04348214
2216,COVID-19 and Deep Venous Thrombosis,,https://ClinicalTrials.gov/show/NCT04338932
2217,COVID-19 - No Health Without Mental Health,Behavioral: Co-mestring (co-coping),https://ClinicalTrials.gov/show/NCT04421612
2218,Repurposed Approved Therapies for Outpatient Treatment of Patients With Early-Onset COVID-19 and Mild Symptoms,Drug: Fluvoxamine Maleate 100 MG [Luvox]|Drug: Metformin Extended Release Oral Tablet|Drug: Ivermectin oral tablets or sublingual waffles|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04727424
2219,Telerehabilitation in Patients With COVID-19 After Hospitalization. The ATHLOS Study,Device: Telerehabilitation,https://ClinicalTrials.gov/show/NCT04368845
2220,Study of the Increase in ICU Beds Capacity During COVID-19 Pandemic in France,,https://ClinicalTrials.gov/show/NCT04420286
2221,Clinical Trial of BioBlock COVID-19 Nasal Spray Containing Anti-SARS-CoV-2 Antibodies Derived From Bovine Colostrum,Other: Nasal Spray Containing Anti-SARS-CoV-2 Antibodies Derived from Bovine Colostrum,https://ClinicalTrials.gov/show/NCT04916574
2222,Early transfusIon of Convalescent Plasma in Elderly COVID-19 Patients. to Prevent Disease Progression.,Biological: COVID-19 Convalescent Plasma,https://ClinicalTrials.gov/show/NCT04374526
2223,Angiotensin Receptor Blockers and Angiotensin-converting Enzyme Inhibitors and Adverse Outcomes in Patients With COVID19,Other: Suspension or Maintenance of Angiotensin Receptor Blockers and Angiotensin-converting Enzyme Inhibitors,https://ClinicalTrials.gov/show/NCT04364893
2224,RT-PCR Database Analysis for COVID-19 Infections and Re-infection,,https://ClinicalTrials.gov/show/NCT04653844
2225,A Study of FOY-305 in Patients With SARS-Cov-2 Infection (COVID-19),Drug: FOY-305|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04657497
2226,COVID-19 Infection at Samusocial in Paris: Descriptive and Serological Survey,Diagnostic Test: blood test for SARS-COV2 serology,https://ClinicalTrials.gov/show/NCT04470648
2227,Prevalence of Thrombosis in COVID-Patients,Diagnostic Test: duplex sonography,https://ClinicalTrials.gov/show/NCT04615026
2228,Treatment With CSL312 in Adults With Coronavirus Disease 2019 (COVID-19),"Biological: Garadacimab, Factor XIIa Antagonist Monoclonal Antibody|Drug: Placebo",https://ClinicalTrials.gov/show/NCT04409509
2229,Combination of Chemopreventive Agents (All- Trans Retinoic Acid and Tamoxifen) as Potential Treatment for the Lung Complication of COVID-19,Combination Product: Aerosolized All-Trans Retinoic acid plus oral Tamoxifen|Other: Standard treatment,https://ClinicalTrials.gov/show/NCT04568096
2230,Clearing the Fog: Is Hydroxychloroquine Effective in Reducing COVID-19 Progression,Drug: HCQ,https://ClinicalTrials.gov/show/NCT04491994
2231,COVID-19 and Cancer Consortium Registry,Other: Web-based REDCap survey,https://ClinicalTrials.gov/show/NCT04354701
2232,Efficacy and Safety of a Highly Selective Semipermeable Membrane (AN-69 Oxiris) vs (Standard AN-69) in COVID-19,Procedure: AN69-Oxiris|Procedure: AN69-Standard,https://ClinicalTrials.gov/show/NCT04597034
2233,Burnout Among Adolescent Population During Covid-19 Lockdown in Pakistan,,https://ClinicalTrials.gov/show/NCT04697030
2234,The Impact and Coping Strategy of COVID-19 Among Taiwan Society and Medical and Nursing Institutes,Other: Standardized crisis management and coping protocol plan toward Coronavirus disease 2019 (COVID-19),https://ClinicalTrials.gov/show/NCT04389476
2235,Characterisation of the Immune Response to SARS-CoV-2,Other: blood test,https://ClinicalTrials.gov/show/NCT04729452
2236,COVID-19 And Lingering Symptoms In Primary Care Patients,,https://ClinicalTrials.gov/show/NCT04813731
2237,Presepsin Biomarker for Ventilator-associated Pneumonia Diagnosis in COVID-19 Patients,,https://ClinicalTrials.gov/show/NCT04840940
2238,Lactoferrin Use in (SARS-CoV-2) Management,Dietary Supplement: Lactoferrin,https://ClinicalTrials.gov/show/NCT04860219
2239,Vitamin D Supplementarion in Pregnant Women at Risk and COVID-19,Dietary Supplement: Vitamin D supplementation in pregnant women,https://ClinicalTrials.gov/show/NCT04825093
2240,Prevalence and Characteristics of Pulmonary Embolism on COVID-19 Patients Presenting Respiratory Symptoms,,https://ClinicalTrials.gov/show/NCT04420312
2241,Follow-up of Respiratory Sequelae of Hospitalized Patients With COVID-19,,https://ClinicalTrials.gov/show/NCT04505631
2242,COVID-19 Infection and Epithelial Cell Markers,,https://ClinicalTrials.gov/show/NCT04787588
2243,CRISIS2: A Phase 2 Study of the Safety and Antiviral Activity of Brequinar in Non-hospitalized Pts With COVID-19,Drug: Brequinar|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04575038
2244,ANalyzing Olfactory Dysfunction Mechanisms In COVID-19,Other: Sampling of tissue,https://ClinicalTrials.gov/show/NCT04445597
2245,COVID-19 Amyotrophic Lateral Sclerosis (ALS) Registry,,https://ClinicalTrials.gov/show/NCT04559009
2246,COVID-19 and Mental Health,Other: Exposure to the SARS-CoV-2,https://ClinicalTrials.gov/show/NCT04407195
2247,"Proof of Principle Study to Evaluate the Safety, PK, Viral Shedding and Efficacy of Pentarlandir™ UPPTA for Patients With Early COVID-19",Drug: Pentarlandir™ UPPTA|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04911777
2248,COVID-19 in Patients With Chronic Liver Diseases,Other: Prospective Chart Review,https://ClinicalTrials.gov/show/NCT04439084
2249,Assessment of Self-Collected Sample Compared to Clinician Collected Sample in COVID-19 and Influenza Program,,https://ClinicalTrials.gov/show/NCT04681950
2250,Descriptive and Evaluation Study of the Use of Pulmonary Ultrasound in the Initial Management of Pregnant Women in the Context of COVID-19,Device: Performing of lung ultrasound,https://ClinicalTrials.gov/show/NCT04432805
2251,Protective Role of Inhaled Steroids for Covid-19 Infection,Drug: 2: Usual practice + SYMBICORT RAPIHALER|Other: 1: Usual practice,https://ClinicalTrials.gov/show/NCT04331054
2252,Aerosol Combination Therapy of All-trans Retinoic Acid and Isotretinoin as A Novel Treatment for Inducing Neutralizing Antibodies in COVID -19 Infected Patients Better Than Vaccine : An Innovative Treatment,Drug: Aerosolized 13 cis retinoic acid|Drug: Aerosolized All trans retinoic acid|Other: Placebo,https://ClinicalTrials.gov/show/NCT04396067
2253,To Determine the Efficacy of Neurokinin 1 Receptor Antagonist as a Therapeutic Tool Against Cytokine Storm and Respiratory Failure in Covid-19 Patients,Drug: NK-1R antagonist,https://ClinicalTrials.gov/show/NCT04468646
2254,Immunophenotyping Assessment in a COVID-19 Cohort,Procedure: Biological sample collection|Procedure: Data Collection: Clinical Care Assessments,https://ClinicalTrials.gov/show/NCT04378777
2255,Study of Decidual Stromal Cells to Treat COVID-19 Respiratory Failure,Biological: Decidual Stromal Cells (DSC),https://ClinicalTrials.gov/show/NCT04451291
2256,Increased Risk of VTE and Higher Hypercoagulability in Patients Recovered in ICU and in Medical Ward for COVID-19,Drug: thromboprophylaxis with low-molecular-weight heparin or fondaparinux,https://ClinicalTrials.gov/show/NCT04359212
2257,Rhu-pGSN for Severe Covid-19 Pneumonia,Drug: Recombinant human plasma gelsolin (Rhu-pGSN)|Other: Placebo,https://ClinicalTrials.gov/show/NCT04358406
2258,Performance Assessment of SARS-CoV-2 Detection Breath Biopsy - SARS-CoV-2 Study,Device: Breath Biopsy face masks with removable filters and fitted PVA strip|Diagnostic Test: Nasopharyngeal swab|Diagnostic Test: oropharyngeal swabs,https://ClinicalTrials.gov/show/NCT04508556
2259,Natural History of COVID-19-Related Atrial Fibrillation,"Device: ILR, PMK, ICD",https://ClinicalTrials.gov/show/NCT04830774
2260,Eye Detection to Identify Novel Coronavirus Infection,Diagnostic Test: Novel coronavirus infection,https://ClinicalTrials.gov/show/NCT04907981
2261,Vagus Nerve Stimulation ARDS Prevention Trial for COVID-19 Hospitalized Patients,Device: Transcutaneous Auricular Vagus Nerve Stimulation,https://ClinicalTrials.gov/show/NCT04379037
2262,Novel Coronavirus Induced Severe Pneumonia Treated by Dental Pulp Mesenchymal Stem Cells,Biological: Dental pulp mesenchymal stem cells,https://ClinicalTrials.gov/show/NCT04302519
2263,Protecting With ARNI Against Cardiac Consequences of Coronavirus Disease 2019,Drug: Sacubitril / Valsartan Oral Tablet [Entresto]|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04883528
2264,REsearching Covid-19 Outcomes in Diabetes (RECODE),,https://ClinicalTrials.gov/show/NCT04805970
2265,Use of PCR-Sars-CoV-2 in Children,,https://ClinicalTrials.gov/show/NCT04412317
2266,Imaging Immune Activation in COVID-19,Drug: [18F]F-AraG (2'-deoxy-2'-fluoro-9-β-D-arabinofuranosylguanine),https://ClinicalTrials.gov/show/NCT04815096
2267,Urine Alkalinisation in COVID-19,Drug: Sodium bicarbonate|Drug: standard care,https://ClinicalTrials.gov/show/NCT04806061
2268,COVIDISC: Rapid Diagnostic Tests on Nasopharyngeal Swabs for the Detection of COVID-19,Diagnostic Test: Rapid Diagnostic Test vs PCR,https://ClinicalTrials.gov/show/NCT04703140
2269,SERO-EPIDEMIOLOGY OF SARS-COV2 INFECTION IN THE AUTONOMOUS CITY OF BUENOS AIRES,Diagnostic Test: Presence of specific anti-SARS-CoV-2 antibodies,https://ClinicalTrials.gov/show/NCT04482361
2270,COVID-19 Associated Lymphopenia Pathogenesis Study in Blood,,https://ClinicalTrials.gov/show/NCT04401436
2271,Pirfenidone Compared to Placebo in Post-COVID19 Pulmonary Fibrosis COVID-19,Drug: Pirfenidone|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04607928
2272,A Blended Gaming COVID-19 Training System (BGCTS) With WHO Guidelines for Staff in Residential Care Homes,"Behavioral: Blended Gaming COVID-19 Training System (BGCTS)|Behavioral: Usual care, infection control briefing",https://ClinicalTrials.gov/show/NCT04783025
2273,COVID-19 and Anti-CD14 Treatment Trial,Biological: anti-CD14|Other: Placebo|Drug: remdesivir,https://ClinicalTrials.gov/show/NCT04391309
2274,Lung Irradiation for COVID-19 Pneumonia,Radiation: Phase 1|Radiation: Phase 2,https://ClinicalTrials.gov/show/NCT04393948
2275,COVID-19 and Lung Ultrasound Utility,Device: Butterfly iQ,https://ClinicalTrials.gov/show/NCT04591158
2276,Plasma Therapy of COVID-19 in Severely Ill Patients,Biological: Convalescent Plasma (anti-SARS-CoV-2 plasma)|Biological: Non-convalescent Plasma (control plasma),https://ClinicalTrials.gov/show/NCT04359810
2277,Dexamethasone Treatment for Severe Acute Respiratory Distress Syndrome Induced by COVID-19,Drug: Dexamethasone and Hydroxychloroquine|Drug: Hydroxychloroquine,https://ClinicalTrials.gov/show/NCT04347980
2278,ACTIV-2: A Study for Outpatients With COVID-19,"Biological: bamlanivimab|Drug: Placebo (IV)|Biological: BRII-196/BRII-198|Biological: AZD7442 (IV)|Biological: AZD7442 (IM)|Drug: SNG001|Drug: Camostat|Drug: Placebo (IM)|Drug: Placebo (Inhaled solution)|Drug: Placebo (oral tablet)|Biological: C135-LS + C144-LS|Drug: Placebo (SC injections)|Biological: SAB-185 (3,840 Units/kg)|Biological: SAB-185 (10,240 Units/kg)",https://ClinicalTrials.gov/show/NCT04518410
2279,Live Microbials to Boost Anti-Severe Acute Respiratory Syndrome Coronavirus-2 (SARS-CoV-2) Immunity Clinical Trial,"Dietary Supplement: OL-1, standard dose|Dietary Supplement: OL-1, high dose|Dietary Supplement: Placebo",https://ClinicalTrials.gov/show/NCT04847349
2280,Study to Evaluate the Efficacy and Safety of EG-HPCP-03a Compared to DEX in Patients With COVID-19 Pneumonia,Drug: EG-HPCP-03a|Drug: EG-HPCP-03a Placebo|Drug: Standard of Care|Drug: Dexamethasone,https://ClinicalTrials.gov/show/NCT04561180
2281,Covid-19 in Lupus Patients,,https://ClinicalTrials.gov/show/NCT04355702
2282,Does COVID-19 Pandemic Reduce In-hospital Mortality?,Other: in-hospital mortality rate,https://ClinicalTrials.gov/show/NCT04480515
2283,OCTA Study: Retinal Vascular Changes in Patients With SARS-CoV-2 Infection,Diagnostic Test: Optical coherence tomography angiography,https://ClinicalTrials.gov/show/NCT04601012
2284,The Phase I Clinical Trial of Booster Vaccination of Adenovirus Type-5 Vectored COVID-19 Vaccine,Biological: Adenovirus Type-5 Vectored COVID-19 Vaccine,https://ClinicalTrials.gov/show/NCT04568811
2285,Assessment of Executive Functions After Covid-19,,https://ClinicalTrials.gov/show/NCT04771624
2286,A Study in Adults to Test the Effects of Low Dose Thimerosal on Symptoms of COVID-19,Drug: BTL-TML-COVID|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04522830
2287,Rapid Screening for Olfactory Disorders in Covid-19 Infection,Diagnostic Test: Olfactory test,https://ClinicalTrials.gov/show/NCT04696601
2288,COVID-19 Patient Cohort: Retinal Damage in Non-invasive Retinal Imaging (OCTA),,https://ClinicalTrials.gov/show/NCT04881253
2289,Borderline COVID-19 PCR Test Result,Diagnostic Test: SARS-CoV-2 PCR,https://ClinicalTrials.gov/show/NCT04636294
2290,A Comparison of Sample Collection Methods for SARS-COV-2 Antibody Testing,Diagnostic Test: comparison of sample collection methods,https://ClinicalTrials.gov/show/NCT04537572
2291,Lactoferrin for Prevention of COVID-19 in Health Care Workers,Dietary Supplement: Bovine Lactoferrin|Dietary Supplement: Maltodextrin,https://ClinicalTrials.gov/show/NCT04526821
2292,Corona Virus Disease 2019 Patients Whose Nucleic Acids Changed From Negative to Positive,Drug: Favipiravir,https://ClinicalTrials.gov/show/NCT04333589
2293,Prayer in Commbate to Corona Virus - Covid -19,Other: PRAYER,https://ClinicalTrials.gov/show/NCT04631380
2294,Serologic Surveillance for SARS-CoV-2 (COVID-19) in a Prospective Cohort of Health Care Workers,Diagnostic Test: Serologic SARS-CoV-2 screening,https://ClinicalTrials.gov/show/NCT04387890
2295,"Outpatient Treatment of SARS-CoV-2 With Ivermectin, Fluvoxamine, and Metformin (COVID-19)",Drug: Metformin|Drug: Placebo|Drug: Fluvoxamine|Drug: Ivermectin,https://ClinicalTrials.gov/show/NCT04510194
2296,Bone Marrow-Derived Mesenchymal Stem Cell Treatment for Severe Patients With Coronavirus Disease 2019 (COVID-19),Biological: BM-MSCs|Biological: Placebo,https://ClinicalTrials.gov/show/NCT04346368
2297,Risk of SARS-CoV-2 Infection (COVID-19) in a Standing Concert in a Closed Performance Hall,Other: Concert,https://ClinicalTrials.gov/show/NCT04896970
2298,Nutritional Follow up After Hospital Discharge for Coronavirus Disease-19,Other: nutritional intervention,https://ClinicalTrials.gov/show/NCT04451694
2299,"Social Activity, Loneliness and Stigma During COVID-19 Outbreak",Behavioral: Digital social activity video intervention|Behavioral: Informational sheet|Behavioral: Stigma awareness video intervention,https://ClinicalTrials.gov/show/NCT04734171
2300,Characterising Transmission of SARS-CoV-2 in a Peri-urban Population in Mozambique,,https://ClinicalTrials.gov/show/NCT04442165
2301,COVID-19 Respiratory Distress and Antithrombotic Drugs in Subject's Habits,,https://ClinicalTrials.gov/show/NCT04412473
2302,"Intravenous Immunoglobulin (IVIG, Bioven) Efficacy Assess for COVID-19 / SARS-CoV-2 Severe Pneumonia Complex Treatment",Drug: IVIG,https://ClinicalTrials.gov/show/NCT04500067
2303,Profiling Antibody Status and Vaccine Effectiveness in Post Vaccination With SARS CoV2 in Ain Shams University,Biological: Astrazeneca/Oxford Vaccine|Biological: Sinopharm vaccine,https://ClinicalTrials.gov/show/NCT04885764
2304,"EFFECT OF COVID-19 DISEASE IN SMELL AND TASTE OF PATIENTS WITH MILD, MODERATE OR SEVERE SYMPTOMATOLOGY",Diagnostic Test: visual analogue scale,https://ClinicalTrials.gov/show/NCT04657445
2305,A Study of Micro Dose Ambrisentan in Hospitalized Patients With Respiratory Insufficiency Due to COVID-19,Drug: Ambrisentan|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04771000
2306,COVID-19 and Tissue Damage in Vital Organs,"Procedure: Liver, lung, heart and kidney biopsy",https://ClinicalTrials.gov/show/NCT04678687
2307,Evaluation of Airway Pressure Release Ventilation in COVID-19 ARDS,Other: Airway pressure release ventilation,https://ClinicalTrials.gov/show/NCT04386369
2308,COVID-19 Related Health and Infection Control Practices Among Dentists,Other: No intervention,https://ClinicalTrials.gov/show/NCT04423770
2309,Study to Assess Efficacy and Safety Relative to Standard of Care in Patients With COVID-19 Pneumonia,Drug: Standard of Care (SOC) + ANG-3777|Drug: Standard Of Care (SOC) + Placebo,https://ClinicalTrials.gov/show/NCT04459676
2310,Contribution of a Prone Team in Intensive Care During the Covid-19 Epidemic,,https://ClinicalTrials.gov/show/NCT04438941
2311,"Efficacy, Safety, and Immunogenicity of Two Vaccination Schedules of an Inactivated Vaccine Against COVID-19 in Adults",Biological: SARS-CoV-2 inactivated vaccine,https://ClinicalTrials.gov/show/NCT04651790
2312,FAvipiravir and HydroxyChloroquine Combination Therapy,Combination Product: Favipiravir and Hydroxychloroquine,https://ClinicalTrials.gov/show/NCT04392973
2313,Long-term Impact of Infection With Novel Coronavirus (COVID-19),,https://ClinicalTrials.gov/show/NCT04362150
2314,Pulmonary Embolism and COVID-19,Other: intensive care unit admission ratio,https://ClinicalTrials.gov/show/NCT04590378
2315,Evolution of Psychoactive Substances Consumption in Connection With COVID-19 Containment,,https://ClinicalTrials.gov/show/NCT04343339
2316,A Study Looking at the Effectiveness and Safety of a COVID-19 Vaccine in South African Adults,Biological: SARS-CoV-2 rS/Matrix-M1 Adjuvant|Other: Placebo,https://ClinicalTrials.gov/show/NCT04533399
2317,Vienna Versus SARS-CoV-2 Virus Study,Diagnostic Test: Laboratory Analyses,https://ClinicalTrials.gov/show/NCT04407429
2318,Increased Risk of Severe Coronavirus Disease 2019 in Patients With Vitamin D Deficiency,,https://ClinicalTrials.gov/show/NCT04403932
2319,COVID-19 PCR Test Results in Asymptomatic Pregnants,Diagnostic Test: Reverse transcription polymerase chain reaction,https://ClinicalTrials.gov/show/NCT04410939
2320,Outpatient Treatment With CoVid-19 With Prexablu,Drug: Sublingual Methylene blue|Other: Control patients,https://ClinicalTrials.gov/show/NCT04619290
2321,Dietary and Lifestyle Habits During the Pandemic of COVID-19 in Greece,Other: Online Survey about Dietary and Lifestyle Habits,https://ClinicalTrials.gov/show/NCT04437121
2322,Coronavirus Studied by Metagenomics in ARDS COVID-19 Patients,Other: retrospective metagenomics on clinical samples collected during hospitalization,https://ClinicalTrials.gov/show/NCT04516486
2323,COVID-19 Phobia in Patients With Bronchiectasis During Covid-19 Pandemic,,https://ClinicalTrials.gov/show/NCT04487873
2324,Protein Electrophoresis as a Tool for Complications Prediction in COVID-19 Hospitalised Patients,,https://ClinicalTrials.gov/show/NCT04414059
2325,"A Study Looking at the Effectiveness, Immune Response, and Safety of a COVID-19 Vaccine in Adults in the United Kingdom",Biological: SARS-CoV-2 rS/Matrix M1-Adjuvant|Other: Placebo|Biological: Licensed seasonal influenza vaccine,https://ClinicalTrials.gov/show/NCT04583995
2326,Low-doses Melphalan Inhalation in Patients With COVID-19 (CoronavIrus Disease 2019) Pneumonia,Drug: Melphalan|Other: Standard of care,https://ClinicalTrials.gov/show/NCT04380376
2327,Safety of an Inactivated SARS-CoV-2 Vaccine (CoronaVac) in Children and Adolescents,Biological: SARS-CoV-2 Inactivated Vaccine|Biological: Placebo,https://ClinicalTrials.gov/show/NCT04884685
2328,Convalescent Plasma (PC) and Human Intravenous Anti-COVID-19 Immunoglobulin (IV Anti COVID-19 IgG) in Patients Hospitalized for COVID-19.,Biological: COVID-19 convalescent plasma|Biological: Anti-COVID-19 human immunoglobulin|Drug: Standard (specific) therapy for COVID-19,https://ClinicalTrials.gov/show/NCT04395170
2329,Evaluation of Covid 19 Anxiety in Endometriosis Patients,,https://ClinicalTrials.gov/show/NCT04337346
2330,Anhydrous Enol-Oxaloacetate (AEO) on Improving Fatigue in Post-COVID-19 Survivors,Dietary Supplement: Oxaloacetate Medical Food/Dietary Supplement,https://ClinicalTrials.gov/show/NCT04592354
2331,COVID19-FOIE National Observatory,,https://ClinicalTrials.gov/show/NCT04375670
2332,COVID-19 Associated Endothelial Dysfunction Study,Diagnostic Test: Procedure : Multimodal microvascular assessment at study inclusion,https://ClinicalTrials.gov/show/NCT04773899
2333,Efficacy of Montelukast in Mild-moderate Respiratory Symptoms in Patients With Long-COVID-19:,Drug: Montelukast|Other: placebo,https://ClinicalTrials.gov/show/NCT04695704
2334,Psychiatric Consultation for COVID-19 Patients,Behavioral: Psychiatric counseling,https://ClinicalTrials.gov/show/NCT04395872
2335,Clinical Trial to Assess the Efficacy of MSC in Patients With ARDS Due to COVID-19,Biological: Mesenchymal stromal cells|Other: Placebo,https://ClinicalTrials.gov/show/NCT04615429
2336,HSD3B1 Gene Polymorphisms With Outcomes in SARS-CoV-2 Infected Patients,Genetic: Expression of receptors and activating proteases|Genetic: Polymorphism of the HSD3B1,https://ClinicalTrials.gov/show/NCT04516850
2337,"A Phase 2 Study of Human Monoclonal Antibodies, BRII-196 and BRII-198",Drug: BRII-196 and BRII-198|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04787211
2338,The Clinical Study of Carrimycin on Treatment Patients With COVID-19,Drug: Carrimycin|Drug: lopinavir/ritonavir tablets or Arbidol or chloroquine phosphate|Drug: basic treatment,https://ClinicalTrials.gov/show/NCT04286503
2339,Proxalutamide Treatment for COVID-19 Female Outpatients,Drug: Proxalutamide|Other: Standard of Care,https://ClinicalTrials.gov/show/NCT04853134
2340,COVID-19 in a Single Large UK Rheumatology Centre and Impact on QOL,Other: Questionnaire,https://ClinicalTrials.gov/show/NCT04542031
2341,Combination Therapies to Reduce Carriage of SARS-Cov-2 and Improve Outcome of COVID-19 in Ivory Coast: a Phase Randomized IIb Trial,Drug: Lopinavir/Ritonavir 200 MG-50 MG Oral Tablet|Drug: Telmisartan 40Mg Oral Tablet|Drug: Atorvastatin 20 Mg Oral Tablet,https://ClinicalTrials.gov/show/NCT04466241
2342,Prevention and Treatment for COVID -19 (Severe Acute Respiratory Syndrome Coronavirus 2 SARS-CoV-2) Associated Severe Pneumonia in the Gambia,Drug: Ivermectin|Drug: ASP|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04703608
2343,Enoxaparin at Prophylactic or Therapeutic Doses in COVID-19,Drug: Enoxaparin,https://ClinicalTrials.gov/show/NCT04646655
2344,Polyvalent Immunoglobulin in COVID-19 Related ARds,Drug: Human immunoglobulin|Drug: Placebo,https://ClinicalTrials.gov/show/NCT04350580
2345,Incidence of COVID-19 Test Conversion in Post-surgical Patients,Diagnostic Test: COVID-19 PCR and Serology,https://ClinicalTrials.gov/show/NCT04392323
2346,Blood Sample Measurements and Physical Activity Levels in Type II Diabetes and/or COVID-19,Drug: COVID-19 group (Group I)|Drug: Type II Diabetes Mellitus and COVID-19 group (Group II),https://ClinicalTrials.gov/show/NCT04695158
2347,mHealth Intervention for Increasing COVID-19 Prevention Practices With Urban Refugee and Displaced Youth in Uganda,Behavioral: Kukaa Salama: mHealth intervention|Device: Face Mask + Soap,https://ClinicalTrials.gov/show/NCT04631367
2348,Treatment of Nosocomial COVID-19,Drug: Bamlanivimab,https://ClinicalTrials.gov/show/NCT04748588
2349,"Epidemiologic, Clinical and Molecular Characteristics of Patients With Acute Respiratory Failure Affected by 2019-NCOV.",Other: Patient with SAR-CoV-2 infection,https://ClinicalTrials.gov/show/NCT04552340
2350,Photobiomodulation Therapy Combined With Static Magnetic Field in Patients With COVID-19,Device: Active PBMT/sMF|Device: Placebo PBMT/sMF,https://ClinicalTrials.gov/show/NCT04386694
2351,Elimination or Prolongation of ACE Inhibitors and ARB in Coronavirus Disease 2019,Other: Discontinuation of ARB/ACEI|Other: Continuation of ARB/ACEI,https://ClinicalTrials.gov/show/NCT04338009
2352,Treatment With Human Umbilical Cord-derived Mesenchymal Stem Cells for Severe Corona Virus Disease 2019 (COVID-19),Biological: UC-MSCs|Biological: Saline containing 1% Human serum albumin（solution without UC-MSCs）,https://ClinicalTrials.gov/show/NCT04288102
2353,Effect of Corticosteroid Treatment on Prognosis in ARDS Secondary to Covid-19,Drug: Corticosteroids and Derivatives,https://ClinicalTrials.gov/show/NCT04586114
2354,Use of a Respiratory Multiplex PCR and Procalcitonin to Reduce Antibiotics Exposure in Patients With Severe Confirmed COVID-19 Pneumonia,Procedure: Combined use of a respiratory broad panel multiplex PCR and procalcitonin|Other: Usual antibiotic treatment,https://ClinicalTrials.gov/show/NCT04334850
2355,Cardiac complicAtions in Patients With SARS Corona vIrus 2 (COVID-19) regisTrY,,https://ClinicalTrials.gov/show/NCT04325412
2356,Therapeutic Vaccine Trial of COVID-19 for Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Infection,Biological: Covax-19™,https://ClinicalTrials.gov/show/NCT04428073
2357,Adipose Mesenchymal Cells for Abatement of SARS-CoV-2 Respiratory Compromise in COVID-19 Disease,Biological: Autologous Adipose MSC's,https://ClinicalTrials.gov/show/NCT04352803
2358,Host Response Mediators in Coronavirus (COVID-19) Infection - Is There a Protective Effect of Losartan on Outcomes of Coronavirus Infection?,Drug: Losartan,https://ClinicalTrials.gov/show/NCT04606563
2359,Treat COVID-19 Patients With Regadenoson,Drug: Regadenoson|Other: Placebo Control,https://ClinicalTrials.gov/show/NCT04606069
2360,Efficacy and Safety of Ganovo (Danoprevir) Combined With Ritonavir in the Treatment of SARS-CoV-2 Infection,Drug: Danoprevir+Ritonavir,https://ClinicalTrials.gov/show/NCT04345276
2361,Evaluation of Ganovo （Danoprevir ） Combined With Ritonavir in the Treatment of SARS-CoV-2 Infection,Drug: Ganovo+ritonavir+/-Interferon nebulization,https://ClinicalTrials.gov/show/NCT04291729
2362,Distance Learning for Dental Student During COVID-19 Pandemic,,https://ClinicalTrials.gov/show/NCT04401371
2363,Ruxolitinib for the Treatment of Acute Respiratory Distress Syndrome in Patients With COVID-19 Infection,Drug: Ruxolitinib Oral Tablet,https://ClinicalTrials.gov/show/NCT04361903
2364,Generic Testing of Antigen Tests for COVID-19 in Denmark,Diagnostic Test: Comparison of antigen tests with RT-PCR as reference method,https://ClinicalTrials.gov/show/NCT04913116
